stock_id,name,cash
sh.601698,中国卫通,18893.510000000002
sh.601699,潞安环能,23142.874
sh.601728,中国电信,20166.095999999998
sh.601766,中国中车,19209.535999999996
sh.601788,光大证券,14422.624000000007
sh.601799,星宇股份,24006.694000000003
sh.601800,中国交建,20330.933999999994
sh.601808,中海油服,18682.767999999996
sh.601816,京沪高铁,19524.106000000007
sh.601818,光大银行,19156.987999999998
sh.601838,成都银行,18642.694000000007
sh.601857,中国石油,20158.742000000013
sh.601865,福莱特,17436.96600000001
sh.601868,中国能建,19979.218
sh.601872,招商轮船,20830.512000000006
sh.601877,正泰电器,22815.248
sh.601878,浙商证券,17459.404000000002
sh.601881,中国银河,19055.246000000006
sh.601888,中国中免,26365.571999999996
sh.601898,中煤能源,20553.369999999995
sh.601899,紫金矿业,17490.928000000007
sh.601901,方正证券,19480.474000000002
sh.601919,中远海控,30702.080000000016
sh.601939,建设银行,19716.05800000001
sh.601985,中国核电,20862.742000000006
sh.601988,中国银行,19637.869999999984
sh.601989,中国重工,19258.286
sh.601995,中金公司,17162.726000000002
sh.601998,中信银行,19563.557999999986
sh.603019,中科曙光,19013.582
sh.603185,弘元绿能,25477.033999999992
sh.603195,公牛集团,23612.36
sh.603259,药明康德,25291.280000000006
sh.603260,合盛硅业,28664.618
sh.603288,海天味业,20347.932
sh.603290,斯达半导,20184.03
sh.603369,今世缘,14191.473999999993
sh.603392,万泰生物,20886.648
sh.603486,科沃斯,29367.045999999988
sh.603501,韦尔股份,18828.818000000003
sh.603659,璞泰来,23771.891999999996
sh.603799,华友钴业,32333.241999999987
sh.603806,福斯特,13070.809999999994
sh.603833,欧派家居,23751.505999999994
sh.603899,晨光股份,16534.46
sh.603986,兆易创新,17475.103999999992
sh.603993,洛阳钼业,19226.363999999987
sh.605117,德业股份,27457.927999999996
sh.605499,东鹏饮料,18628.264
sh.688005,容百科技,29282.43800000001
sh.688008,澜起科技,12541.26
sh.688012,中微公司,18063.943999999996
sh.688036,传音控股,23525.389999999985
sh.688065,凯赛生物,20121.557999999997
sh.688111,金山办公,0.0
sh.688126,沪硅产业,17083.42
sh.688187,时代电气,23702.402000000002
sh.688303,大全能源,20405.410000000003
sh.688363,华熙生物,18706.867999999995
sh.688396,华润微,23930.841999999997
sh.688561,奇安信,18104.677999999993
sh.688599,天合光能,20766.392
sh.688981,中芯国际,15427.998000000003
